price,description,lien_produit,name,image_url,regular_price,discount,stock_availability,brand,category,offre,garantie
8.8,Micro filaire professionnel dynamique pour l'enregistrement vocal - Conçu pour tous les systèmes de karaoké et ordinateurs - unidirectionnel - Jack 6.5mm,https://www.tunisianet.com.tn/microphone/58026-microphone-filaire-65mm-noir.html,Microphone filaire 6.5mm Noir,https://www.tunisianet.com.tn/262561-home/microphone-filaire-65mm-noir.jpg,-1.0,0,En stock,Noname,"['Accueil', 'TV-Son-Photos', 'SON', 'Microphone']",no offer,0
779.0,"Écran Full HD 15.6"" (1920 x 1080 px ), antireflet - Processeur Intel Celeron N100, up to3.4 GHz,6 Mo de mémoire Cache - Mémoire4 Go - Disque SSD256 Go SSD M.2, PCIe NVMe - Carte Graphique IntelUHD Graphics - Wi-Fi 6 - Bluetooth 5.3 - Caméra HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - CouleurGold - Windows 11-Garantie 1 anAvec ",https://www.tunisianet.com.tn/pc-portable-tunisie/75596-pc-portable-hp-15-fd0028nk-4-go-gold-windows-11.html,Pc Portable HP 15-FD0028NK / 4 Go / Gold / Windows 11 AVEC SACOCHE OFFERTE,https://www.tunisianet.com.tn/370596-home/pc-portable-hp-15-fd0028nk-4-go-gold-windows-11.jpg,899.0,-120.0,En stock,HP,"['Accueil', 'Informatique', 'Ordinateur Portable', 'Pc Portable']",SACOCHE Offerte,12
65.0,Bouilloire électrique - Puissance: 750-900 W - Capacité: 1L - Bec verseur - Arrêt automatique à ébullition - Protection contre la surchauffe - Couvercle de sécurité - Alimentation: 220-240V~ 50/60Hz - Garantie 1 an,https://www.tunisianet.com.tn/appareil-de-cuisson-convivial/35873-bouilloire-electrique-techwood-tb-1106-noir.html,Bouilloire électrique Techwood TB-1106 / Noir,https://www.tunisianet.com.tn/130358-home/bouilloire-electrique-techwood-tb-1106-noir.jpg,-1.0,0,En stock,Techwood,"['Accueil', 'Electroménager', 'Petit Electro Cuisine', 'Appareil de cuisson / Convivial']",no offer,12
529.0,Mini Bar NEWSTAR - 1 Porte - Système de refroidissement: DeFrost - Volume 120 Litres - Classe climatique: ST - Consommation d’énergie: 0.3 Kwh/24h - Alimentation: 220-240 V/ 50 hz - Dimensions: 82.1 × 48 × 50 cm - Couleur Silver - Garantie 1 an,https://www.tunisianet.com.tn/refrigerateur-tunisie/73809-mini-bar-newstar-defrost-120l-silver.html,Mini Bar NEWSTAR Defrost / 120L / Silver,https://www.tunisianet.com.tn/360756-home/mini-bar-newstar-defrost-120l-silver.jpg,-1.0,0,En stock,Newstar,"['Accueil', 'Electroménager', 'Gros Electro Cuisine', 'Réfrigérateurs']",no offer,12
749.0,Congélateur Verticale NEWSTAR CV100 - Capacité 80L -Alimentation 220 -240 / 50Hz -Performance4 étoiles -Porte réversible -Gaz réfrigérantR600a -3xTiroires - Pieds réglables - Dimensions84.5 x 56.6 x 54.5 cm - Couleur Blanc - Garantie 1 an,https://www.tunisianet.com.tn/congelateur-tunisie/55464-congelateur-verticale-newstar-cv100-100l.html,Congélateur Verticale NEWSTAR CV100 / 80L,https://www.tunisianet.com.tn/243093-home/congelateur-verticale-newstar-cv100-100l.jpg,-1.0,0,En stock,Newstar,"['Accueil', 'Electroménager', 'Gros Electro Cuisine', 'Congélateurs']",no offer,12
159.0,FOUR ÉLECTRIQUE FOCUS - Puissance: 1800 Watts - Volume: 35 Litres - Température: Réglable jusqu'à 250°C - Minuterie: 90 min - 4 Fonctions - Alimentation: 220-240V/50-60hz - Lampe - Résistance Inox - 1 x Grill - 1 x Plateau rectangulaire - Couleur: Gris - Garantie: 1an,https://www.tunisianet.com.tn/four-electrique-tunisie-micro-onde/73432-four-electrique-focus-f35r-35-l-rouge.html,FOUR ÉLECTRIQUE FOCUS F35G 35 L / GRIS,https://www.tunisianet.com.tn/358939-home/four-electrique-focus-f35r-35-l-rouge.jpg,-1.0,0,En stock,FOCUS,"['Accueil', 'Electroménager', 'Petit Electro Cuisine', 'Mini four électrique / Micro-onde']",no offer,12
32.0,"Microphone RGB GAMING HAVIT GK58B - Microphone léger avec rétroéclairage lumineux pour votre ordinateur - Le microphone a un support pour que vous puissiez facilement le poser sur la table - Aussi sa souplesse permettra de régler la direction qui vous convient - Sensibilité : -36±3db - impédance : 2.2KΩ - Réponse en fréquence : 30 Hz à 16 kHz - Longueur du cordon : 1,5 m - Courant de fonctionnement : 90 mA - Directivité : Omnidirectionnelle - Microphone : φ6*5MM - Connectivité : USB",https://www.tunisianet.com.tn/microphone/72137-microphone-rgb-gaming-havit-gk58b.html,MICROPHONE RGB GAMING HAVIT GK58B,https://www.tunisianet.com.tn/350483-home/microphone-rgb-gaming-havit-gk58b.jpg,-1.0,0,En stock,Havit,"['Accueil', 'TV-Son-Photos', 'SON', 'Microphone']",no offer,0
879.0,"Studio Monitor 2 Bluetooth Energy Sistem - 2x Haut-parleurs d'aigus - 2x Haut-parleurs Large bande - Bass Reflex - Égaliseur analogique - Puissance 50 W - Puissance du haut-parleur large bande: 20 W - Taille du haut-parleur large bande: 4"" - Rapport signal/bruit: > 80 dB - Fréquence de fonctionnement: 60 Hz ~ 18 kHz - Système de son 2.0 - THD: <1 % - Taille du haut-parleur d'aigus : 1.5"" - Puissance du haut-parleur d'aigus: 10 W - DSP - Bluetooth 5.0 - Portée à Distance: 20m - Puissance de sortie maximale: < 20 dBm - Entrées audio analogiques RCA - Connecteurs DC - Consommation volume maximum: 12 Wh - Longueur de câble 2 m - Réglage du volume - Dimensions: 250 x 152 x 174 - Poids: 3.645 Kg - Couleur Noir - Garantie 1 an",https://www.tunisianet.com.tn/haut-parleur/70472-chaine-stereo-sans-fil-akai-cmd301n-noir.html,Studio Monitor 2 Bluetooth Energy Sistem,https://www.tunisianet.com.tn/340140-home/chaine-stereo-sans-fil-akai-cmd301n-noir.jpg,-1.0,0,En stock,Energy Sistem,"['Accueil', 'TV-Son-Photos', 'SON', 'Chaîne Stéréo']",no offer,12
289.0,"Barre de son Sans fil Promate BluesBar-40 - Puissance 40W - Connectivités:Bluetooth 5.0, AUX Jack 3.5mm, Port USB, optical, HDMI -jouer de la musique directement depuis un smartphone - Garantie 1 an",https://www.tunisianet.com.tn/barre-de-son/57789-barre-de-son-sans-fil-promate-bluesbar-40-40w.html,Barre de son Sans fil Promate BluesBar-40 / 40W,https://www.tunisianet.com.tn/260861-home/barre-de-son-sans-fil-promate-bluesbar-40-40w.jpg,-1.0,0,En stock,Promate,"['Accueil', 'TV-Son-Photos', 'SON', 'Barre de son']",no offer,12
779.0,"Écran Full HD 15.6"" (1920 x 1080 px ) antireflet - Processeur Intel Celeron N100, up to3.4 GHz,6 Mo de mémoire Cache - Mémoire4 Go - Disque SSD256 Go SSD M.2, PCIe NVMe - Carte Graphique IntelUHD Graphics - Wi-Fi 6 - Bluetooth 5.3 -Caméra HP True Vision HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur Gris ardoise - Windows 11-Garantie 1 anAvec ",https://www.tunisianet.com.tn/pc-portable-tunisie/75597-pc-portable-hp-15-fd0029nk-intel-n100-4-go-windows-11-bleu-avec-sacoche-offerte.html,Pc Portable HP 15-fd0029nk / Intel N100 / 4 Go / Windows 11 / Bleu AVEC SACOCHE OFFERTE,https://www.tunisianet.com.tn/370602-home/pc-portable-hp-15-fd0029nk-intel-n100-4-go-windows-11-bleu-avec-sacoche-offerte.jpg,899.0,-120.0,En stock,HP,"['Accueil', 'Informatique', 'Ordinateur Portable', 'Pc Portable']",SACOCHE Offerte,12
65.0,Bouilloire Sans Fil Kiwi- Puissance : 2200 Watts - Capacité : 1.7 Litres - Base rotative à 360 degrés - Corps en acier inoxydable - Ouverture automatique du couvercle - Bouton marche/arrêt et indicateur lumineux - Facile à utiliser - Couleur : Inox - Garantie : 1 an,https://www.tunisianet.com.tn/appareil-de-cuisson-convivial/76481-bouilloire-kiwi-electrique-sans-fil-2200w-inox.html,BOUILLOIRE KIWI ÉLECTRIQUE SANS FIL / 2200W / 1.7 L / INOX,https://www.tunisianet.com.tn/375594-home/bouilloire-kiwi-electrique-sans-fil-2200w-inox.jpg,-1.0,0,En stock,Kiwi-home,"['Accueil', 'Electroménager', 'Petit Electro Cuisine', 'Appareil de cuisson / Convivial']",no offer,12
569.0,Paiement 6 * sans intérêt - Réfrigérateur Mini-Bar MontBlanc FB14 - Volume Brut: 128 L - Volume Net: 107 L - 3 Etoiles - Consommation d'énergie: 0.732 KWh/jour - Classe énergétique : 3 - Alimentation 230V/50Hz -Couleur Blanc - Dimensions: 83 x 55 x 56 cm - Poids 32 kg - Garantie 2 ans+ ,https://www.tunisianet.com.tn/refrigerateur-tunisie/17819-refrigerateur-mini-bar-montblanc-fb14-blanc-livraison-installation-et-mise-en-marche-gratuites-.html,Réfrigérateur Mini-Bar MontBlanc FB14 / Blanc + Livraison + Installation et Mise en Marche Gratuites,https://www.tunisianet.com.tn/344535-home/refrigerateur-mini-bar-montblanc-fb14-blanc-livraison-installation-et-mise-en-marche-gratuites-.jpg,-1.0,0,En stock,MontBlanc,"['Accueil', 'Electroménager', 'Gros Electro Cuisine', 'Réfrigérateurs']",Livraison + Installation et Mise en Marche Gratuites,24
